Date,Action,Price,Shares,Cost,Cash_After
2025-08-01 04:00:00+00:00,BUY,201.77,49,9886.53,90113.47
2025-08-04 04:00:00+00:00,BUY,202.73,44,8920.26,81193.21
2025-08-05 04:00:00+00:00,BUY,202.3,40,8092.17,73101.04
2025-08-07 04:00:00+00:00,SELL,219.36,133,29175.21,102276.24
2026-01-05 05:00:00+00:00,BUY,267.01,38,10146.39,92129.86
2026-01-06 05:00:00+00:00,BUY,262.11,35,9174.02,82955.84
2026-01-07 05:00:00+00:00,BUY,260.09,31,8062.68,74893.16
2026-01-08 05:00:00+00:00,BUY,258.8,28,7246.34,67646.82
2026-01-09 05:00:00+00:00,BUY,259.13,26,6737.32,60909.5
2026-01-12 05:00:00+00:00,BUY,260.01,23,5980.15,54929.35
2026-01-13 05:00:00+00:00,BUY,260.81,21,5476.92,49452.42
2026-01-14 05:00:00+00:00,BUY,259.72,19,4934.62,44517.8
2026-01-15 05:00:00+00:00,BUY,257.97,17,4385.47,40132.33
2026-01-16 05:00:00+00:00,BUY,255.29,15,3829.37,36302.97
2026-01-20 05:00:00+00:00,BUY,246.47,14,3450.57,32852.39
2026-01-21 05:00:00+00:00,BUY,247.42,13,3216.44,29635.95
2026-01-22 05:00:00+00:00,BUY,248.12,11,2729.3,26906.66
2026-01-23 05:00:00+00:00,BUY,247.81,10,2478.08,24428.58
2026-02-02 05:00:00+00:00,SELL,269.76,301,81197.04,105625.61
2026-02-13 05:00:00+00:00,BUY,255.78,41,10486.98,95138.63
2026-03-12 04:00:00+00:00,BUY,255.76,37,9463.12,85675.51
2026-03-13 04:00:00+00:00,BUY,250.12,34,8504.08,77171.43
2026-03-16 04:00:00+00:00,BUY,252.82,30,7584.6,69586.83
2026-03-18 04:00:00+00:00,BUY,249.94,27,6748.38,62838.45
2026-03-19 04:00:00+00:00,BUY,248.96,25,6224.0,56614.45
2026-03-20 04:00:00+00:00,BUY,247.99,22,5455.78,51158.67
