Date,Action,Price,Shares,Cost,Cash_After
2025-06-21 00:00:00+00:00,BUY,2300.5,4,9201.98,90798.02
2025-06-22 00:00:00+00:00,BUY,2228.21,4,8912.85,81885.17
2025-07-09 00:00:00+00:00,SELL,2770.78,8,22166.22,104051.39
2025-09-23 00:00:00+00:00,BUY,4165.5,2,8331.01,95720.38
2025-09-24 00:00:00+00:00,BUY,4153.47,2,8306.94,87413.44
2025-09-25 00:00:00+00:00,BUY,3868.33,2,7736.67,79676.77
2025-09-26 00:00:00+00:00,BUY,4035.89,1,4035.89,75640.88
2025-09-27 00:00:00+00:00,BUY,4018.66,1,4018.66,71622.23
2025-10-06 00:00:00+00:00,SELL,4687.77,8,37502.17,109124.4
2025-10-10 00:00:00+00:00,BUY,3843.01,2,7686.02,101438.38
2025-10-11 00:00:00+00:00,BUY,3750.61,2,7501.22,93937.16
2025-10-17 00:00:00+00:00,BUY,3832.56,2,7665.12,86272.04
2025-10-22 00:00:00+00:00,BUY,3808.12,2,7616.24,78655.79
2025-11-03 00:00:00+00:00,BUY,3602.31,2,7204.62,71451.18
2025-11-04 00:00:00+00:00,BUY,3292.57,2,6585.15,64866.03
2025-11-05 00:00:00+00:00,BUY,3425.17,1,3425.17,61440.86
2025-11-06 00:00:00+00:00,BUY,3312.26,1,3312.26,58128.6
2025-11-07 00:00:00+00:00,BUY,3435.3,1,3435.3,54693.3
2025-11-08 00:00:00+00:00,BUY,3400.38,1,3400.38,51292.92
2025-11-11 00:00:00+00:00,BUY,3415.28,1,3415.28,47877.64
2025-11-12 00:00:00+00:00,BUY,3413.09,1,3413.09,44464.55
2025-11-13 00:00:00+00:00,BUY,3232.76,1,3232.76,41231.79
2025-11-14 00:00:00+00:00,BUY,3103.79,1,3103.79,38128.0
2025-11-15 00:00:00+00:00,BUY,3166.63,1,3166.63,34961.37
2025-11-16 00:00:00+00:00,BUY,3092.85,1,3092.85,31868.53
2025-11-17 00:00:00+00:00,BUY,3024.54,1,3024.54,28843.99
2025-11-20 00:00:00+00:00,BUY,2831.78,1,2831.78,26012.21
2026-01-05 00:00:00+00:00,SELL,3226.13,24,77427.13,103439.34
2026-01-20 00:00:00+00:00,BUY,2935.61,3,8806.82,94632.52
2026-01-22 00:00:00+00:00,BUY,2949.63,3,8848.9,85783.62
2026-01-23 00:00:00+00:00,BUY,2953.26,2,5906.51,79877.11
2026-01-24 00:00:00+00:00,BUY,2948.74,2,5897.48,73979.63
2026-01-25 00:00:00+00:00,BUY,2815.9,2,5631.8,68347.82
2026-01-29 00:00:00+00:00,BUY,2818.23,2,5636.47,62711.36
2026-01-30 00:00:00+00:00,BUY,2702.38,2,5404.75,57306.61
2026-01-31 00:00:00+00:00,BUY,2445.09,2,4890.18,52416.42
2026-02-01 00:00:00+00:00,BUY,2267.96,2,4535.93,47880.49
2026-02-02 00:00:00+00:00,BUY,2344.36,2,4688.71,43191.78
2026-02-03 00:00:00+00:00,BUY,2227.56,1,2227.56,40964.22
2026-02-04 00:00:00+00:00,BUY,2143.5,1,2143.5,38820.72
2026-02-05 00:00:00+00:00,BUY,1821.68,2,3643.37,35177.35
2026-02-06 00:00:00+00:00,BUY,2063.39,1,2063.39,33113.96
2026-02-07 00:00:00+00:00,BUY,2090.55,1,2090.55,31023.41
2026-02-08 00:00:00+00:00,BUY,2088.76,1,2088.76,28934.65
2026-02-09 00:00:00+00:00,BUY,2103.57,1,2103.57,26831.08
2026-02-10 00:00:00+00:00,BUY,2019.5,1,2019.5,24811.59
2026-02-11 00:00:00+00:00,BUY,1940.62,1,1940.62,22870.96
2026-02-12 00:00:00+00:00,BUY,1946.94,1,1946.94,20924.02
2026-02-13 00:00:00+00:00,BUY,2048.53,1,2048.53,18875.5
2026-02-23 00:00:00+00:00,BUY,1855.5,1,1855.5,17019.99
2026-03-16 00:00:00+00:00,SELL,2351.18,35,82291.16,99311.15
