Date,Action,Price,Shares,Cost,Cash_After
2026-02-11 05:00:00+00:00,BUY,310.74,32,9943.72,90056.28
2026-02-12 05:00:00+00:00,BUY,308.78,29,8954.7,81101.58
2026-02-13 05:00:00+00:00,BUY,305.5,26,7943.13,73158.46
2026-02-17 05:00:00+00:00,BUY,301.81,24,7243.38,65915.08
2026-02-18 05:00:00+00:00,BUY,303.12,21,6365.45,59549.63
2026-02-19 05:00:00+00:00,BUY,302.64,19,5750.1,53799.52
2026-03-03 05:00:00+00:00,BUY,303.37,17,5157.23,48642.29
2026-03-04 05:00:00+00:00,BUY,302.92,16,4846.67,43795.63
2026-03-05 05:00:00+00:00,BUY,300.67,14,4209.36,39586.27
2026-03-06 05:00:00+00:00,BUY,298.31,13,3878.03,35708.24
