Date,Action,Price,Shares,Cost,Cash_After
2025-09-05 04:00:00+00:00,BUY,492.95,20,9859.0,90141.0
2025-10-06 04:00:00+00:00,SELL,526.38,20,10527.62,100668.62
2025-11-05 05:00:00+00:00,BUY,505.06,19,9596.14,91072.48
2025-11-06 05:00:00+00:00,BUY,495.04,18,8910.75,82161.74
2025-11-07 05:00:00+00:00,BUY,494.76,16,7916.2,74245.54
2025-11-18 05:00:00+00:00,BUY,491.75,15,7376.18,66869.36
2025-11-19 05:00:00+00:00,BUY,485.1,13,6306.34,60563.02
2025-11-20 05:00:00+00:00,BUY,477.34,12,5728.09,54834.94
2025-11-21 05:00:00+00:00,BUY,471.04,11,5181.49,49653.44
2025-11-24 05:00:00+00:00,BUY,472.92,10,4729.21,44924.24
2025-11-25 05:00:00+00:00,BUY,475.9,9,4283.13,40641.1
2025-12-03 05:00:00+00:00,BUY,476.64,8,3813.14,36827.97
2025-12-15 05:00:00+00:00,BUY,473.74,7,3316.17,33511.8
2026-01-02 05:00:00+00:00,BUY,471.86,7,3303.04,30208.76
2026-01-05 05:00:00+00:00,BUY,471.77,6,2830.64,27378.12
2026-01-13 05:00:00+00:00,BUY,469.6,5,2347.99,25030.13
2026-01-14 05:00:00+00:00,BUY,458.33,5,2291.67,22738.46
2026-01-15 05:00:00+00:00,BUY,455.62,4,1822.48,20915.98
2026-01-16 05:00:00+00:00,BUY,458.81,4,1835.25,19080.72
2026-01-20 05:00:00+00:00,BUY,453.48,4,1813.94,17266.78
2026-01-21 05:00:00+00:00,BUY,443.1,3,1329.3,15937.49
2026-01-22 05:00:00+00:00,BUY,450.11,3,1350.34,14587.15
2026-01-29 05:00:00+00:00,BUY,432.51,3,1297.54,13289.61
2026-01-30 05:00:00+00:00,BUY,429.31,3,1287.93,12001.68
2026-02-02 05:00:00+00:00,BUY,422.41,2,844.81,11156.87
2026-02-03 05:00:00+00:00,BUY,410.27,2,820.55,10336.32
2026-02-04 05:00:00+00:00,BUY,413.25,2,826.49,9509.83
2026-02-05 05:00:00+00:00,BUY,392.77,2,785.55,8724.28
2026-02-06 05:00:00+00:00,BUY,400.23,2,800.45,7923.83
2026-02-09 05:00:00+00:00,BUY,412.66,1,412.66,7511.17
2026-02-10 05:00:00+00:00,BUY,412.33,1,412.33,7098.84
2026-02-11 05:00:00+00:00,BUY,403.45,1,403.45,6695.39
2026-02-12 05:00:00+00:00,BUY,400.92,1,400.92,6294.47
2026-02-13 05:00:00+00:00,BUY,400.41,1,400.41,5894.06
2026-02-17 05:00:00+00:00,BUY,395.96,1,395.96,5498.11
2026-02-18 05:00:00+00:00,BUY,398.69,1,398.69,5099.42
2026-02-19 05:00:00+00:00,BUY,398.46,1,398.46,4700.96
2026-02-20 05:00:00+00:00,BUY,397.23,1,397.23,4303.73
2026-02-23 05:00:00+00:00,BUY,384.47,1,384.47,3919.26
2026-02-24 05:00:00+00:00,BUY,389.0,1,389.0,3530.26
